Series▲▼;Product Image;Description▲▼;Mounting▲▼;Resistance at 25 °C(Ω)▲▼;R25Tolerance(±%)▲▼;B25/85(K)▲▼;B25/85Tolerance(±%)▲▼;Operating Temperature Range(°C)▲▼;Image path
NTCS0805E3.....T;Enlarge;SMD 0805, Glass Protected NTC Thermistors;;680000;3;4125;1;-55 to +150;image/thermistors/ntc/29044.png
NTCS0805E3.....T;Enlarge;SMD 0805, Glass Protected NTC Thermistors;;680000;5;4125;1;-55 to +150;image/thermistors/ntc/29044.png
NTCSC0402E3.....T;Enlarge;SMD 0402, Commercial Grade NTC Thermistors;;10000;1;3435;1;-40 to +125;image/thermistors/ntc/29238.png
NTCSC0402E3.....T;Enlarge;SMD 0402, Commercial Grade NTC Thermistors;;47000;1;4050;3;-40 to +125;image/thermistors/ntc/29238.png
NTCSC0402E3.....T;Enlarge;SMD 0402, Commercial Grade NTC Thermistors;;100000;1;4050;3;-40 to +125;image/thermistors/ntc/29238.png
NTCSMELFE3;Enlarge;SMD MELF SOD80, Glass Encapsulated NTC Thermistors;;10000;5;3977;1.3;-40 to +150;image/thermistors/ntc/29119.png
NTCSMELFE3;Enlarge;SMD MELF SOD80, Glass Encapsulated NTC Thermistors;;20000;5;3977;1.3;-40 to +150;image/thermistors/ntc/29119.png
NTCSMELFE3;Enlarge;SMD MELF SOD80, Glass Encapsulated NTC Thermistors;;30000;5;3977;1.3;-40 to +150;image/thermistors/ntc/29119.png
NTCSMELFE3;Enlarge;SMD MELF SOD80, Glass Encapsulated NTC Thermistors;;100000;5;3977;1.3;-40 to +150;image/thermistors/ntc/29119.png
NTHS Series;Enlarge;NTC Thermistors, SMD 0402, 0603, 0805, 1206 Chip;;;;;;-40 to +150;image/thermistors/ntc/33008.png
T, M, C;Enlarge;NTC Thermistors, Radial Leaded and Coated;;;;;;-40 to +150;image/thermistors/ntc/33003.png
